,ACCT_ID,SEASON_YEAR,SEASON_TICKET_MEMBER,TICKET_COUNT,TICKET_SPEND,SUM_TICKET_COUNT,SUM_TICKET_SPEND,ATTEND_COUNT,RECEIVE_FORWARD_COUNT,FORWARD_COUNT,RETURN_COUNT,MERCH_PURCHASES,MERCH_SPEND,EMAIL_CLICKS,TICKET_EMAIL_CLICKS,CFYSC_REGISTRATIONS,SF_TASKS,SF_LISTEMAILS,SF_EVENTS,SF_EMAILS,SF_CALLS,SF_CADENCES,MLS_DAY_TENURE,ROOKIE,RENEWED_NEXT_YEAR,FORM_RESPONSES,AVG_FORM_SENTIMENT,AVG_NPS,MLS_YEAR_TENURE,ATTENDANCE_RATE,SF_SUM,FORWARD_AND_RETURN,MERCH_BINARY,SPEND
ACCT_ID,1.0,0.05035780829470325,,-0.020135819405997252,0.002907293238943357,0.028364661895835357,0.01342126102053451,-0.04568829202884883,0.003952085216841383,0.007490762912238193,0.0243656802664731,-0.02574572222125558,-0.019627064667410595,-0.08294666423392026,-0.0588326308022086,-0.007030086178485774,0.026964858384590597,0.0015095333801181897,-0.0029753376160473292,0.012328497593756114,0.010982399644035202,0.010817541681636449,-0.26993145831547893,0.2706384614234022,-0.12020481316835009,-0.009337343871789121,0.01968905596194618,-0.021431541026120215,-0.26993145831547904,-0.07114684937327696,0.011220201966701978,0.01974604128164368,-0.007694495982192159,0.002107620356611595
SEASON_YEAR,0.05035780829470325,1.0,,-0.2700968587345924,-0.07587302450402637,0.6924340287772336,0.3989379657829624,0.34394484570800504,0.10076900666621676,0.07096999985488389,0.1725241242727711,-0.03815675773536697,0.00037089276117795985,0.29484833826100365,0.25398559164290213,0.05721573528916154,0.299356059520317,0.6761786363594874,0.007269524459611615,0.23643168849880558,0.3937435925601636,0.046720760968520327,0.2913700244594166,-0.29296979558850955,0.0960504723139139,0.21951668520453205,0.05986535354650661,0.20229792001506203,0.2913700244594152,0.07135872520050911,0.6566272137961564,0.15070028012256573,-0.05012563470873037,-0.07575453681001597
SEASON_TICKET_MEMBER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TICKET_COUNT,-0.020135819405997252,-0.2700968587345924,,1.0,0.4348695522231201,-0.1546379007270623,-0.08717223703718945,0.14379263997560945,0.09756371924833163,0.4851322777212698,0.18018988671360955,0.10634642084697142,0.09303950808475306,-0.031528298615569876,-0.009599796025975722,-0.009623255648793889,0.01809091996004333,-0.1981987967145867,0.04201614462422929,0.03881813486036284,-0.042891838546662564,-0.03282233151839206,-0.09546842271222539,0.08867260021545488,0.3295617513678229,0.03309955209258798,-0.01492630872176186,0.02047688755773535,-0.09546842271222596,0.25805307567352465,-0.1250610185910329,0.4069267886553163,0.1075353762046022,0.4380485700090919
TICKET_SPEND,0.002907293238943357,-0.07587302450402637,,0.4348695522231201,1.0,-0.07052108590233139,0.000301538495878462,-0.020839481026477324,0.03636573101169233,0.31559542543276276,0.09599544240471097,0.0038313605098849123,0.013356308828394723,-0.013183361816077172,0.0016240563010455802,0.013980304915073887,0.012654762063193548,-0.08880461023690958,0.03285377385007167,0.06849602243851563,-0.017586996322211213,-0.008692857604947786,-0.06472829921720595,0.039043088462272876,0.09628272848917498,-0.009954128248373006,-0.014097485377966726,-0.0056856907526794224,-0.06472829921720591,-0.0037279190536359972,-0.04302362681080514,0.251481190650095,0.0029394387918113677,0.9991780058501991
SUM_TICKET_COUNT,0.028364661895835357,0.6924340287772336,,-0.1546379007270623,-0.07052108590233139,1.0,0.6013242258007934,0.277638585750453,0.13783507169415166,0.0435776908379976,0.062216703267773045,-0.01655899539654246,0.013069842950120907,0.29420140060119315,0.2566010488159745,0.04936810319983998,0.18220286624262227,0.6761400119251235,0.0107011283041796,0.06180155421401905,0.2556488297120668,0.032152668578765295,0.24210006275329063,-0.21813938813798422,0.21335839031759235,0.16253482191855767,0.05430501990530504,0.05963474273410415,0.24210006275328969,0.08921605833620846,0.5432815082737043,0.06526488033278409,-0.02206273531183849,-0.06989506212611381
SUM_TICKET_SPEND,0.01342126102053451,0.3989379657829624,,-0.08717223703718945,0.000301538495878462,0.6013242258007934,1.0,0.1337012803902727,0.09057835865951724,0.07740838462065194,0.014091761872662006,-0.014316183173221027,0.005191722304822606,0.17159970878914935,0.14220938578054682,0.041944824504395836,0.08618693492043392,0.37067033422243517,0.018091982695838865,0.04803937986489215,0.12432027680473934,0.033262670678511366,0.1334200481848802,-0.13472784017230865,0.132880926079155,0.08419400652948617,0.031443959023043304,0.02757182621373979,0.1334200481848805,0.02929882378899147,0.2928490492927638,0.05578578133707721,-0.017054957717616465,0.000511607091331996
ATTEND_COUNT,-0.04568829202884883,0.34394484570800504,,0.14379263997560945,-0.020839481026477324,0.277638585750453,0.1337012803902727,1.0,0.18300868898767061,0.0027060495472585266,0.0549364804706734,0.16036122755935764,0.15833548292434943,0.2813706927978329,0.25231279682378943,0.035997717052697935,0.1973001395227221,0.24457625180817438,-0.018107839919996326,0.194339053732323,0.2093833239407488,0.005848966299206109,0.1804204914663389,-0.17033609308249809,0.3042452030289711,0.3456975585928733,0.045718989823974585,0.31611856215542006,0.18042049146633884,0.933097322505743,0.3007706266816055,0.035909922222865875,0.16837088494534602,-0.014391923313204312
RECEIVE_FORWARD_COUNT,0.003952085216841383,0.10076900666621676,,0.09756371924833163,0.03636573101169233,0.13783507169415166,0.09057835865951724,0.18300868898767061,1.0,0.216839919718641,0.041811011799528695,0.04799421467364113,0.05721261471345704,0.06088908864486264,0.07143510767568173,0.029886741545725584,0.0629616848259407,0.13185802281433795,0.06987320378030266,0.04825031957229631,0.06394609250895242,-0.0017906441738913242,0.05622124120465886,-0.05144922809323785,0.039424084727799895,0.05802936480637584,-0.0037324961362341044,0.037803716459408415,0.056221241204658705,0.1520355441872058,0.12341557378022855,0.1577271136013764,0.020639263108867205,0.03863562715061468
FORWARD_COUNT,0.007490762912238193,0.07096999985488389,,0.4851322777212698,0.31559542543276276,0.0435776908379976,0.07740838462065194,0.0027060495472585266,0.216839919718641,1.0,0.31996283503480744,-0.004028508766034395,0.010471052181544638,0.01747553826701749,0.020644483561119954,0.011654688951768508,0.02365625789622259,0.02728979356649971,0.041263070506793696,0.03830559636815392,0.01887569997485655,0.0025520979464461655,0.02703428724659671,-0.03789433399335646,0.00026706488412008266,0.009930723237281242,-0.003797768419429996,0.011049291580753223,0.02703428724659663,-0.018203371398910484,0.03572188385486384,0.8066961067164511,-0.013768078581452734,0.3155896293069616
